연도,폭염일수_일,정의,격자,조회일,출처
1975,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1976,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1977,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1978,4,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1979,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1980,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1981,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1982,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1983,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1984,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1985,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1986,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1987,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1988,5,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1989,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1990,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1991,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1992,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1993,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1994,16,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1995,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1996,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1997,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1998,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
1999,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2000,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2001,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2002,2,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2003,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2004,4,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2005,3,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2006,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2007,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2008,2,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2009,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2010,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2011,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2012,7,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2013,0,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2014,4,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2015,2,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2016,2,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2017,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2018,18,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2019,8,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2020,1,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2021,8,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2022,2,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2023,4,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2024,5,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
2025,22,6~9월 일최고기온 33°C 이상 일수,37.57469 126.96,2026-09-14,Open-Meteo Archive API(ERA5)
